0,10,20,30,40,50,60,70,80,90,100
#0.1,0,0.000694135,0.001494497,0.001691116,0.001984459,0.002222119,0.00245915,0.003643364,0.003448934,0.003616344
#0.2,0.00120412,0.005409031,0.005944686,0.007211192,0.00908119,0.011456651,0.011864791,0.01347143,0.01597527,0.014982286
#0.3,0.00722472,0.010267974,0.014265653,0.017523682,0.021893313,0.026702216,0.02659067,0.031086928,0.033766118,0.035824716
#0.4,0.01264326,0.022849729,0.025780737,0.031453282,0.037399322,0.046075283,0.049263426,0.05470891,0.057436576,0.063406049
#0.5,0.01685768,0.03187348,0.039814606,0.05322962,0.059153658,0.069365699,0.073097636,0.082610167,0.089373944,0.095187881
#0.6,0.028524063,0.045786791,0.057205117,0.076918743,0.084800892,0.097067809,0.104499882,0.11346412,0.125602785,0.131071057
#0.7,0.040940079,0.060306905,0.079949564,0.099705513,0.116569743,0.12653358,0.140434447,0.154251692,0.162178155,0.169625031
#0.8,0.048392043,0.076507903,0.109669215,0.129583345,0.146802911,0.165004584,0.180542806,0.191558546,0.203405762,0.211849978
#0.9,0.055844007,0.099329276,0.131328083,0.161633081,0.180870334,0.204023271,0.2233322,0.235767935,0.249939693,0.258458995
#1.0,0.075490628,0.126339638,0.15617253,0.192380178,0.216210272,0.246488331,0.266877801,0.282623381,0.29359052,0.30586595
