0,2,4,6,8,10,12,14,16,18,20
#50,0.062361725,0.066573734,0.067293234,0.064521577,0.063035716,0.064669164,0.062193227,0.058267739,0.060492262,0.065359941
#40,0.071115405,0.069043979,0.062759704,0.065847263,0.062677991,0.062330231,0.063352568,0.06242194,0.063321182,0.064861056
#30,0.087423244,0.079007616,0.072026978,0.068995221,0.065998282,0.064590297,0.065640153,0.064605698,0.063562525,0.062598431
#20,0.111699274,0.09238063,0.076967906,0.077831125,0.072621591,0.069937892,0.071320032,0.066752633,0.06755425,0.065147503
#15,0.135945632,0.104500727,0.093349754,0.080805149,0.079342822,0.074116179,0.073341899,0.072576083,0.068921576,0.066220389
#10,0.169118681,0.125127036,0.108109866,0.09809051,0.091327087,0.084939899,0.080658073,0.077394897,0.073778598,0.072220148
#8,0.193054393,0.143557896,0.117985117,0.103252993,0.094993753,0.090027096,0.084391083,0.084338349,0.077995532,0.076772435
#6,0.219900948,0.164969436,0.136113935,0.119285513,0.111731824,0.099393636,0.091419383,0.087065297,0.093345424,0.085349624
#4,0.265895431,0.198599607,0.162382985,0.144344326,0.128917401,0.120419209,0.112359473,0.107803614,0.103778572,0.096899172
#2,0.353006249,0.264778091,0.227248643,0.198026382,0.183411983,0.167430722,0.156108339,0.146240121,0.13134104,0.12930897
