0,10,20,30,40,50,60,70,80,90,100
#I2P_TBC_0.1,0,9.40E-05,5.64E-05,0.000118635,0.000270927,0.000386088,0.000581104,0.000621036,0.000667392,0.000942061
#I2P_TBC_0.5,0.000925513,0.002348773,0.00402792,0.005289323,0.007330669,0.009764685,0.01118488,0.015052144,0.016529345,0.018974942
#I2P_TBC_1,0.006565922,0.010722837,0.016535465,0.024531782,0.029504344,0.03841684,0.044624875,0.054131295,0.060722666,0.070517553
#Tor_TBC_0.1_ENP_0.1,0,0.000462756,0.000271727,0.001350774,0.002321454,0.001939963,0.002569973,0.00231861,0.003505145,0.003451071
#Tor_TBC_0.1_ENP_0.5,0,0.000231378,0.00040759,0.000375804,0.000425241,0.000959332,0.001340399,0.000909533,0.00109539,0.0013961
#Tor_TBC_0.1_ENP_1,0,0,0.000271727,0.000563705,0.000496115,0.0009029,0.000792449,0.001043093,0.000992697,0.000963296
#Tor_TBC_0.5_ENP_0.1,0.015278744,0.025918883,0.032464338,0.043276039,0.048456853,0.054318234,0.056763938,0.061291297,0.064148182,0.069850139
#Tor_TBC_0.5_ENP_0.5,0.00722472,0.009111083,0.014316934,0.016173826,0.018970126,0.023235062,0.024657074,0.028540903,0.031917365,0.032896516
#Tor_TBC_0.5_ENP_1,0.00240824,0.006015834,0.009425853,0.012660345,0.01532744,0.017600743,0.019603276,0.020752598,0.022460746,0.026713447
#Tor_TBC_1_ENP_0.1,0.062245308,0.101655308,0.1263861,0.142825222,0.159110272,0.167550045,0.175283775,0.183601999,0.187594587,0.191415889
#Tor_TBC_1_ENP_0.5,0.0240824,0.043414034,0.054912091,0.067226753,0.079072872,0.089908269,0.093436742,0.100901182,0.110823295,0.114385199
#Tor_TBC_1_ENP_1,0.02227622,0.027304891,0.039199237,0.049247303,0.061782,0.069645182,0.074746216,0.082417455,0.085651039,0.094529304
#Proposed_PPC_25,0.033795031,0.041593626,0.060535097,0.07370883,0.081693732,0.092748748,0.102626958,0.109755662,0.116163672,0.122738315
#Proposed_PPC_10,0.038384267,0.073766507,0.096518441,0.109267979,0.127315603,0.138871955,0.149902364,0.152970894,0.162770636,0.169044451
#Proposed_PPC_5,0.076246145,0.112283223,0.146809259,0.165653493,0.177891038,0.192066125,0.198402172,0.206899722,0.209990247,0.212507362
#Proposed_PPC_1,0.267369416,0.325678812,0.347628073,0.340149117,0.34182132,0.3381807,0.338603319,0.336966662,0.339589411,0.342271148
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
I2P (Concurrent tunnel-build rate = 0.1),0,9.40E-05,5.64E-05,0.000118635,0.000270927,0.000386088,0.000581104,0.000621036,0.000667392,0.000942061
I2P (Concurrent tunnel-build rate = 0.5),0.000925513,0.002348773,0.00402792,0.005289323,0.007330669,0.009764685,0.01118488,0.015052144,0.016529345,0.018974942
I2P (Concurrent tunnel-build rate = 1),0.006565922,0.010722837,0.016535465,0.024531782,0.029504344,0.03841684,0.044624875,0.054131295,0.060722666,0.070517553
Tor (Concurrent tunnel-build rate = 0.1),0,0.000231378,0.00040759,0.000375804,0.000425241,0.000959332,0.001340399,0.000909533,0.00109539,0.0013961
Tor (Concurrent tunnel-build rate = 0.5),0.00722472,0.009111083,0.014316934,0.016173826,0.018970126,0.023235062,0.024657074,0.028540903,0.031917365,0.032896516
Tor (Concurrent tunnel-build rate = 1),0.0240824,0.043414034,0.054912091,0.067226753,0.079072872,0.089908269,0.093436742,0.100901182,0.110823295,0.114385199
Proposed structure (Permanent relays per cluster = 25),0.033795031,0.041593626,0.060535097,0.07370883,0.081693732,0.092748748,0.102626958,0.109755662,0.116163672,0.122738315
Proposed structure (Permanent relays per cluster = 10),0.038384267,0.073766507,0.096518441,0.109267979,0.127315603,0.138871955,0.149902364,0.152970894,0.162770636,0.169044451
Proposed structure (Permanent relays per cluster = 5),0.076246145,0.112283223,0.146809259,0.165653493,0.177891038,0.192066125,0.198402172,0.206899722,0.209990247,0.212507362
Proposed structure (Permanent relays per cluster = 1),0.267369416,0.325678812,0.347628073,0.340149117,0.34182132,0.3381807,0.338603319,0.336966662,0.339589411,0.342271148
